event,t_s,load_factor
E000,2000.0,2.08
E001,2037.5,1.27
E002,2075.0,1.0
E003,2112.5,1.62
E004,2150.0,1.36
E005,2187.5,1.09
E006,2225.0,2.26
E007,2262.5,1.44
E008,2300.0,1.18
E009,2337.5,1.8
E010,2375.0,1.53
E011,2412.5,1.27
E012,2450.0,1.55
E013,2487.5,1.62
E014,2525.0,1.36
E015,2562.5,1.09
E016,2600.0,1.71
E017,2637.5,1.44
E018,2675.0,1.73
E019,2712.5,1.8
E020,2750.0,1.53
E021,2787.5,1.27
E022,2825.0,1.0
E023,2862.5,1.62
E024,2900.0,1.91
E025,2937.5,1.09
E026,2975.0,1.71
E027,3012.5,1.44
