config,channel,rep,value
CFG-A,lift,1,121.0
CFG-A,lift,2,122.25
CFG-A,drag,1,25.0
CFG-A,drag,2,26.25
CFG-A,moment,1,-7.5
CFG-A,moment,2,-6.25
CFG-B,lift,1,127.5
CFG-B,lift,2,128.75
CFG-B,lift,3,130.0
CFG-B,drag,1,31.5
CFG-B,drag,2,32.75
CFG-B,drag,3,34.0
CFG-B,moment,1,-1.0
CFG-B,moment,2,0.25
CFG-B,moment,3,1.5
CFG-C,lift,1,134.0
CFG-C,lift,2,135.25
CFG-C,drag,1,38.0
CFG-C,drag,2,39.25
CFG-C,moment,1,5.5
CFG-C,moment,2,6.75
CFG-D,lift,1,140.5
CFG-D,lift,2,141.75
CFG-D,lift,3,143.0
CFG-D,drag,1,44.5
CFG-D,drag,2,45.75
CFG-D,drag,3,47.0
CFG-D,moment,1,12.0
CFG-D,moment,2,13.25
CFG-D,moment,3,14.5
CFG-E,lift,1,147.0
CFG-E,lift,2,148.25
CFG-E,drag,1,51.0
CFG-E,drag,2,52.25
CFG-E,moment,1,18.5
CFG-E,moment,2,19.75
