config,channel,rep,value
CFG-A,lift,1,120.0
CFG-A,lift,2,121.25
CFG-A,lift,3,122.5
CFG-A,drag,1,24.0
CFG-A,drag,2,25.25
CFG-A,drag,3,26.5
CFG-A,moment,1,-8.5
CFG-A,moment,2,-7.25
CFG-A,moment,3,-6.0
CFG-B,lift,1,126.5
CFG-B,lift,2,127.75
CFG-B,drag,1,30.5
CFG-B,drag,2,31.75
CFG-B,moment,1,-2.0
CFG-B,moment,2,-0.75
CFG-C,lift,1,133.0
CFG-C,lift,2,134.25
CFG-C,lift,3,135.5
CFG-C,drag,1,37.0
CFG-C,drag,2,38.25
CFG-C,drag,3,39.5
CFG-C,moment,1,4.5
CFG-C,moment,2,5.75
CFG-C,moment,3,7.0
