id,status,valid,x1_h,wall_gap,iteration,seconds,native_execution,quadratic_x1_h
re300-u5-d30-g1,complete,True,6.647259070343059,0.004628596561817168,1855,26.566188167023938,saved_field_reuse,6.678026550821557
re300-u5-d30-g2,complete,True,6.721201164517846,0.002358873518894666,5198,145.90643558400916,fresh_solve,6.737055627959991
re300-u5-d30-g4,complete,True,6.743796284979161,0.0011897955144628207,16411,1839.9526484580128,fresh_solve,6.75182002354948
re300-u5-d30-g8,complete,True,6.751709404011289,0.0005984358909240406,34369,6386.245883708005,fresh_solve,6.755749869243739
re300-u10-d30-g1,complete,True,6.646716169514774,0.0046281140727812385,1853,28.53529854095541,fresh_solve,6.677477930156688
re300-u10-d30-g2,complete,True,6.721065526427568,0.00235886037682125,5192,153.7601898330031,fresh_solve,6.736919581587877
re300-u10-d30-g4,complete,True,6.7437623503529185,0.001189796710678795,16397,1956.5441313749761,fresh_solve,6.751786056614968
re300-u10-d30-g8,complete,True,6.751699018152279,0.0005984358650603217,34350,6799.267088666966,fresh_solve,6.755739476994834
re300-u5-d60-g1,complete,True,6.647259046976333,0.0046285965038113525,1828,32.637866500008386,fresh_solve,6.678026526961096
re300-u5-d60-g2,complete,True,6.721201068033008,0.0023588734449547077,5103,172.16892908298178,fresh_solve,6.737055530750593
re300-u5-d60-g4,complete,True,6.743795884839604,0.0011897954156353896,16058,2108.57856587501,fresh_solve,6.751819622267367
re300-u5-d60-g8,complete,True,6.751707742382391,0.0005984357135002899,33007,8391.076218208997,fresh_solve,6.755748205422549
re300-u10-d60-g1,complete,True,6.646716146651566,0.004628114015502101,1827,32.568609667010605,fresh_solve,6.677477906806948
re300-u10-d60-g2,complete,True,6.72106543633109,0.0023588603072030503,5104,178.17737824999494,fresh_solve,6.7369194908109655
re300-u10-d60-g4,complete,True,6.743761978734953,0.0011897966190919688,16070,2297.272691374994,fresh_solve,6.751785683937213
re300-u10-d60-g8,complete,True,6.751697479395058,0.0005984357003201955,33089,8629.330444917025,fresh_solve,6.75573793620449
