airfoil,case,mach,aoa_deg,reynolds,cl,cd,case_file
3116,13,0.47787010300594546,1.6505020669552346,8240000.0,-0.00022781378001453776,0.007906174535924156,3116_case_13_analysis.csv
6720,10,0.19939522148869507,3.898644552648105,7320000.0,-0.0004830841834916183,0.0070886057352904834,6720_case_10_analysis.csv
639,5,0.3090448063073731,-0.9305385932036285,8960000.0,0.00012487133207176134,0.007687989836364005,639_case_5_analysis.csv
1184,10,0.579035284244324,-1.382419837666093,4170000.0,0.00018707901486970382,0.0077521731282143595,1184_case_10_analysis.csv
2945,6,0.3920438984355672,5.299996073187815,8800000.0,-0.0007672251079159313,0.008270441701297284,2945_case_6_analysis.csv
6718,12,0.23517573661565083,-1.9846896303918564,3410000.0,0.0002678289518406486,0.007728830867395834,6718_case_12_analysis.csv
3835,13,0.47137610124310936,1.312395768667224,3000000.0,-0.0001410273115893678,0.006155808134447781,3835_case_13_analysis.csv
5325,13,0.3397998241109025,-0.021925010843022008,1720000.0,3.105207503793777e-06,0.00811471780178944,5325_case_13_analysis.csv
3779,8,0.6772168428342561,-0.8839222373570403,8400000.0,0.00020587059132185564,0.013343459079285882,3779_case_8_analysis.csv
6881,8,0.4805257300842565,4.530011836115414,2680000.0,-0.00042044370068217444,0.005306704322029379,6881_case_8_analysis.csv
1287,0,0.42484009632411435,-0.1273004008154588,3770000.0,1.5614262721007106e-05,0.007027706721236577,1287_case_0_analysis.csv
1668,8,0.49688603636958295,0.9342584661337363,1400000.0,-0.00015691454577795546,0.009622331256921454,1668_case_8_analysis.csv
1301,0,0.6828017646086082,3.867294864112367,7330000.0,-0.0004963455210097509,0.007342420021530255,1301_case_0_analysis.csv
404,5,0.6072544724096554,5.549954878072517,5860000.0,-0.0006954236939135441,0.00715684116694855,404_case_5_analysis.csv
428,0,0.625756472132549,3.1163129107617715,3200000.0,-0.0016983762281791532,0.031195139177237055,428_case_0_analysis.csv
2576,8,0.1597753746888625,5.12798276320529,8640000.0,-0.0006010256051705487,0.006697415927854552,2576_case_8_analysis.csv
6822,9,0.6252122796003209,4.2997933294176045,6380000.0,-0.0010818609556074335,0.014388984128693836,6822_case_9_analysis.csv
1709,5,0.5437867845679669,3.019063101540242,8410000.0,-0.00048772565502154525,0.009247489381762806,1709_case_5_analysis.csv
2204,6,0.7010078930737714,-0.3148217346920461,5590000.0,4.942818316686509e-05,0.008995559935433342,2204_case_6_analysis.csv
